Protein,KO,Description
PN96_RS10005,K06217,"phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins"
PN96_RS19855,,
PN96_RS21010,K16922,yydH; putative peptide zinc metalloprotease protein
PN96_RS24230,K03623,yhcO; ribonuclease inhibitor
PN96_RS15040,K02662,pilM; type IV pilus assembly protein PilM
PN96_RS24180,,
PN96_RS02025,K07014,K07014; uncharacterized protein
PN96_RS20210,K03319,"TC.DASS; divalent anion:Na+ symporter, DASS family"
PN96_RS06375,K07240,chrA; chromate transporter
PN96_RS09085,K01358,"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"
PN96_RS09810,,
PN96_RS00640,,
PN96_RS02605,K06604,flaI; flagellar protein FlaI
PN96_RS14140,,
PN96_RS15485,,
PN96_RS11495,K07000,K07000; uncharacterized protein
PN96_RS17720,K20034,dmdB; 3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44]
PN96_RS08895,K07497,K07497; putative transposase
PN96_RS04385,,
PN96_RS05355,K13653,K13653; AraC family transcriptional regulator
PN96_RS21520,,
PN96_RS07590,K07552,"bcr, tcaB; MFS transporter, DHA1 family, multidrug resistance protein"
PN96_RS20685,,
PN96_RS07315,,
PN96_RS07850,K03768,"PPIB, ppiB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
PN96_RS01030,K03598,rseB; sigma-E factor negative regulatory protein RseB
PN96_RS05325,K01993,ABC-2.TX; HlyD family secretion protein
PN96_RS03830,,
PN96_RS18745,,
PN96_RS21145,,
PN96_RS11885,K02063,thiP; thiamine transport system permease protein
PN96_RS22735,,
PN96_RS19465,,
PN96_RS10235,K03625,nusB; transcription antitermination protein NusB
PN96_RS22980,K26606,"azlD, brnE; branched chain amino acid efflux pump"
PN96_RS09520,K04079,"HSP90A, htpG; molecular chaperone HtpG"
PN96_RS00660,K03453,"TC.BASS; bile acid:Na+ symporter, BASS family"
PN96_RS00360,K10924,mshA; MSHA pilin protein MshA
PN96_RS20725,,
PN96_RS16295,K10831,tauB; taurine transport system ATP-binding protein [EC:7.6.2.7]
PN96_RS07030,K26967,Z; Enterobacteria phage tail completion protein
PN96_RS14495,K07662,"cpxR; two-component system, OmpR family, response regulator CpxR"
PN96_RS11455,K02996,"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
PN96_RS08855,K19128,csy2; CRISPR-associated protein Csy2
PN96_RS06495,,
PN96_RS06530,K05708,"hcaE, hcaA1; 3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:1.14.12.19]"
PN96_RS03725,K09857,K09857; uncharacterized protein
PN96_RS13345,K00053,ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
PN96_RS00975,K09895,K09895; uncharacterized protein
PN96_RS19360,K02002,proX; glycine betaine/proline transport system substrate-binding protein
PN96_RS06405,K03457,"TC.NCS1; nucleobase:cation symporter-1, NCS1 family"
PN96_RS02265,,
PN96_RS08000,K01935,bioD; dethiobiotin synthetase [EC:6.3.3.3]
PN96_RS15570,K01674,cah; carbonic anhydrase [EC:4.2.1.1]
PN96_RS18990,,
PN96_RS15845,,
PN96_RS21535,,
PN96_RS17675,K11069,potD; spermidine/putrescine transport system substrate-binding protein
PN96_RS04010,K02356,efp; elongation factor P
PN96_RS12265,K24300,"wbpM, wbgZ, aatA; UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]"
PN96_RS02020,,
PN96_RS08615,K11085,"msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]"
PN96_RS15445,K01669,"phr, PHR1; deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]"
PN96_RS13585,K02113,"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"
PN96_RS14285,K01776,murI; glutamate racemase [EC:5.1.1.3]
PN96_RS08775,K12256,spuC; putrescine---pyruvate transaminase [EC:2.6.1.113]
PN96_RS06180,,
PN96_RS11680,K02562,mtlR; mannitol operon repressor
PN96_RS11350,K01924,murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
PN96_RS14765,K04087,hflC; modulator of FtsH protease HflC
PN96_RS19320,,
PN96_RS15770,,
PN96_RS15605,,
PN96_RS05330,,
PN96_RS07530,K03313,"nhaA; Na+:H+ antiporter, NhaA family"
PN96_RS06855,K06970,rlmF; 23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]
PN96_RS22620,K02110,"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"
PN96_RS12460,,
PN96_RS12830,K02461,gspL; general secretion pathway protein L
PN96_RS09180,K11927,rhlE; ATP-dependent RNA helicase RhlE [EC:5.6.2.7]
PN96_RS14420,K07182,K07182; CBS domain-containing protein
PN96_RS10350,K02671,pilV; type IV pilus assembly protein PilV
PN96_RS13520,K03536,rnpA; ribonuclease P protein component [EC:3.1.26.5]
PN96_RS07080,,
PN96_RS20780,K02018,modB; molybdate transport system permease protein
PN96_RS16365,K01130,"atsA, aslA; arylsulfatase [EC:3.1.6.1]"
PN96_RS13580,K02109,"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"
PN96_RS10070,K07258,"dacC, dacA, dacD; serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]"
PN96_RS08400,,
PN96_RS06645,,
PN96_RS05965,,
PN96_RS15230,,
PN96_RS06000,K05773,"tupB, vupB; tungstate transport system permease protein"
PN96_RS11265,,
PN96_RS21955,,
PN96_RS20820,K00324,pntA; proton-translocating NAD(P)+ transhydrogenase subunit alpha [EC:7.1.1.1]
PN96_RS22845,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS19485,,
PN96_RS07460,,
PN96_RS22945,K02258,"COX11, ctaG; cytochrome c oxidase assembly protein subunit 11"
PN96_RS15660,K04477,ycdX; putative hydrolase
PN96_RS05740,,
PN96_RS01740,K02344,holD; DNA polymerase III subunit psi [EC:2.7.7.7]
PN96_RS17020,,
PN96_RS23490,,
PN96_RS16545,,
PN96_RS20420,K19267,qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
PN96_RS13055,K09760,rmuC; DNA recombination protein RmuC
PN96_RS00165,K05787,hupA; DNA-binding protein HU-alpha
PN96_RS05805,,
PN96_RS01820,,
PN96_RS22655,K03451,"TC.BCT; betaine/carnitine transporter, BCCT family"
PN96_RS10360,K02672,pilW; type IV pilus assembly protein PilW
PN96_RS14725,K18979,queG; epoxyqueuosine reductase [EC:1.17.99.6]
PN96_RS23480,,
PN96_RS23230,,
PN96_RS15895,K01214,"ISA, treX; isoamylase [EC:3.2.1.68]"
PN96_RS11735,,
PN96_RS19785,,
PN96_RS05040,,
PN96_RS08930,K05800,"decR, cyuR; Lrp/AsnC family transcriptional regulator, cysteine-sensing transcriptional activator"
PN96_RS14795,K12573,"rnr, vacB; ribonuclease R [EC:3.1.13.1]"
PN96_RS09995,K03184,ubiF; 3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
PN96_RS15455,,
PN96_RS05360,K00036,"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"
PN96_RS19240,K02029,ABC.PA.P; polar amino acid transport system permease protein
PN96_RS19730,K01744,aspA; aspartate ammonia-lyase [EC:4.3.1.1]
PN96_RS16335,,
PN96_RS19370,K02000,proV; glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]
PN96_RS15360,,
PN96_RS09115,K11690,"dctM; C4-dicarboxylate transporter, DctM subunit"
PN96_RS11100,,
PN96_RS04325,K03790,rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
PN96_RS15005,K00145,argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
PN96_RS09355,K04758,feoA; ferrous iron transport protein A
PN96_RS10685,K01092,"E3.1.3.25, IMPA, suhB; myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]"
PN96_RS05310,K00928,lysC; aspartate kinase [EC:2.7.2.4]
PN96_RS15725,K07107,ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
PN96_RS19115,,
PN96_RS23555,,
PN96_RS03425,K01989,K01989; putative tryptophan/tyrosine transport system substrate-binding protein
PN96_RS15280,K04030,eutQ; ethanolamine utilization protein EutQ
PN96_RS22630,K02116,atpI; ATP synthase protein I
PN96_RS00090,K03073,secE; preprotein translocase subunit SecE
PN96_RS03685,K19804,lapB; lipopolysaccharide assembly protein B
PN96_RS08680,K07337,K07337; penicillin-binding protein activator
PN96_RS22660,K25961,"etfB; N,N-dimethylglycine/sarcosine catabolism electron transfer flavoprotein subunit beta"
PN96_RS22170,K10975,allP; allantoin permease
PN96_RS12680,K13893,yejA; microcin C transport system substrate-binding protein
PN96_RS21300,K00826,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
PN96_RS08575,,
PN96_RS10055,K05515,mrdA; penicillin-binding protein 2 [EC:3.4.16.4]
PN96_RS23315,,
PN96_RS08125,K13930,mdcB; triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
PN96_RS01360,K05799,"pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex"
PN96_RS05460,K02014,TC.FEV.OM; iron complex outermembrane recepter protein
PN96_RS22075,K03671,"TXN, trxA; thioredoxin"
PN96_RS17070,K01354,ptrB; oligopeptidase B [EC:3.4.21.83]
PN96_RS02935,K02430,"fucR; DeoR family transcriptional regulator, L-fucose operon activator"
PN96_RS22085,,
PN96_RS22530,K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
PN96_RS14410,K01895,"ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]"
PN96_RS16395,,
PN96_RS06570,K05803,nlpI; lipoprotein NlpI
PN96_RS05705,K15738,uup; ABC transport system ATP-binding/permease protein
PN96_RS13440,K04085,"tusA, sirA; tRNA 2-thiouridine synthesizing protein A [EC:2.8.1.-]"
PN96_RS21670,,
PN96_RS08110,K13934,mdcG; phosphoribosyl-dephospho-CoA transferase [EC:2.7.7.66]
PN96_RS19000,K00638,catB; chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]
PN96_RS15020,K14681,argHA; argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1]
PN96_RS02630,K10943,"flrC, fleR, flaM; two-component system, response regulator FlrC"
PN96_RS17970,,
PN96_RS07940,K00566,"mnmA, trmU; tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]"
PN96_RS03375,K15580,"oppA, mppA; oligopeptide transport system substrate-binding protein"
PN96_RS23145,K17836,penP; beta-lactamase class A [EC:3.5.2.6]
PN96_RS17400,K01823,"idi, IDI; isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]"
PN96_RS21740,,
PN96_RS21430,K01007,"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]"
PN96_RS01980,K00864,"glpK, GK; glycerol kinase [EC:2.7.1.30]"
PN96_RS01880,K02283,"cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]"
PN96_RS13225,K07227,chuX; heme iron utilization protein
PN96_RS08790,K09471,"puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
PN96_RS14745,K00791,"miaA, TRIT1; tRNA dimethylallyltransferase [EC:2.5.1.75]"
PN96_RS01815,,
PN96_RS14360,,
PN96_RS04265,,
PN96_RS07660,K05779,ynjD; putative thiamine transport system ATP-binding protein
PN96_RS01515,K18675,"chbP; N,N'-diacetylchitobiose phosphorylase [EC:2.4.1.280]"
PN96_RS21455,K00449,"pcaH; protocatechuate 3,4-dioxygenase, beta subunit [EC:1.13.11.3]"
PN96_RS00745,K03406,mcp; methyl-accepting chemotaxis protein
PN96_RS10760,K02036,pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]
PN96_RS21620,,
PN96_RS00550,,
PN96_RS07225,K04764,"ihfA, himA; integration host factor subunit alpha"
PN96_RS02270,,
PN96_RS17390,,
PN96_RS04515,,
PN96_RS20635,,
PN96_RS17305,K26913,pbfA; (R)-1-hydroxy-2-aminoethylphosphonate ammonia-lyase [EC:4.3.1.33]
PN96_RS23120,,
PN96_RS15150,,
PN96_RS00125,K03046,rpoC; DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
PN96_RS16195,K02035,ABC.PE.S; peptide/nickel transport system substrate-binding protein
PN96_RS04815,K02529,"galR; LacI family transcriptional regulator, galactose operon repressor"
PN96_RS22135,K03449,"MFS.CP; MFS transporter, CP family, cyanate transporter"
PN96_RS11995,K02303,cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
PN96_RS13955,K01524,"ppx-gppA; exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"
PN96_RS13725,K01462,"PDF, def; peptide deformylase [EC:3.5.1.88]"
PN96_RS05945,K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
PN96_RS11875,K14061,uspF; universal stress protein F
PN96_RS18460,,
PN96_RS22510,,
PN96_RS02950,K03473,pdxB; erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]
PN96_RS13125,K02283,"cpaF, tadA; pilus assembly protein CpaF [EC:7.4.2.8]"
PN96_RS10370,K02655,pilE; type IV pilus assembly protein PilE
PN96_RS01430,K01894,gluQ; glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
PN96_RS24015,,
PN96_RS20430,K21394,yiaM; TRAP-type transport system small permease protein
PN96_RS13860,K03149,thiG; thiazole synthase [EC:2.8.1.10]
PN96_RS11730,K05798,"leuO; LysR family transcriptional regulator, transcriptional activator for leuABCD operon"
PN96_RS22060,,
PN96_RS04290,,
PN96_RS10560,,
PN96_RS05160,K02517,"lpxL, htrB; Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]"
PN96_RS11890,K02064,"thiB, tbpA; thiamine transport system substrate-binding protein"
PN96_RS12130,K02878,"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
PN96_RS05250,K07666,"qseB; two-component system, OmpR family, response regulator QseB"
PN96_RS05895,K11069,potD; spermidine/putrescine transport system substrate-binding protein
PN96_RS22690,K21826,"gbdR; AraC family transcriptional regulator, glycine betaine-responsive activator"
PN96_RS07490,K24264,panP; aspartate 1-decarboxylase [EC:4.1.1.11]
PN96_RS06700,,
PN96_RS20265,,
PN96_RS00155,K09891,K09891; uncharacterized protein
PN96_RS19040,,
PN96_RS21985,,
PN96_RS03560,K02078,"acpP, acpM; acyl carrier protein"
PN96_RS05550,K06969,rlmI; 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]
PN96_RS00820,K01519,"rdgB, ITPA; XTP/dITP diphosphohydrolase [EC:3.6.1.66]"
PN96_RS22810,,
PN96_RS08265,K00424,cydX; cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]
PN96_RS12565,K02844,"waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]"
PN96_RS07455,,
PN96_RS22680,,
PN96_RS09765,,
PN96_RS23160,,
PN96_RS01260,K07263,pqqL; zinc protease [EC:3.4.24.-]
PN96_RS07765,K19228,sapC; cationic peptide transport system permease protein
PN96_RS01755,,
PN96_RS21730,K00059,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
PN96_RS08935,K01738,cysK; cysteine synthase [EC:2.5.1.47]
PN96_RS09770,K03286,"TC.OOP; OmpA-OmpF porin, OOP family"
PN96_RS23125,K07798,"cusB, silB; membrane fusion protein, copper/silver efflux system"
PN96_RS11180,K03648,"UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]"
PN96_RS09570,,
PN96_RS10670,K04487,"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]"
PN96_RS12150,K02886,"RP-L2, MRPL2, RML2, rplB; large subunit ribosomal protein L2"
PN96_RS17615,K02052,ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein
PN96_RS16200,,
PN96_RS19165,K01897,"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
PN96_RS00560,K00655,plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
PN96_RS17055,K03832,tonB; periplasmic protein TonB
PN96_RS18625,K14057,"abgR; LysR family transcriptional regulator, regulator of abg operon"
PN96_RS00335,K12283,mshM; MSHA biogenesis protein MshM
PN96_RS17740,,
PN96_RS01065,K03474,pdxJ; pyridoxine 5-phosphate synthase [EC:2.6.99.2]
PN96_RS01640,K03798,"ftsH, hflB; cell division protease FtsH [EC:3.4.24.-]"
PN96_RS04880,,
PN96_RS10550,,
PN96_RS10035,K03643,"lptE, rlpB; LPS-assembly lipoprotein"
PN96_RS20720,,
PN96_RS22950,K02274,"coxA, ctaD; cytochrome c oxidase subunit I [EC:7.1.1.9]"
PN96_RS12275,,
PN96_RS16060,,
PN96_RS20460,,
PN96_RS23550,,
PN96_RS07845,K01883,"CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]"
PN96_RS08080,,
PN96_RS10540,K01451,hipO; hippurate hydrolase [EC:3.5.1.32]
PN96_RS01730,K24843,ubiT; O2-independent ubiquinone biosynthesis accessory factor UbiT
PN96_RS05305,K06720,ectC; L-ectoine synthase [EC:4.2.1.108]
PN96_RS15875,,
PN96_RS01320,K18778,zapD; cell division protein ZapD
PN96_RS18750,,
PN96_RS06625,K01223,"E3.2.1.86B, bglA; 6-phospho-beta-glucosidase [EC:3.2.1.86]"
PN96_RS04140,K01497,"ribA, RIB1; GTP cyclohydrolase II [EC:3.5.4.25]"
PN96_RS01040,K03596,lepA; GTP-binding protein LepA
PN96_RS05150,K00651,metA; homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]
PN96_RS21700,,
PN96_RS20975,K08984,yjdF; putative membrane protein
PN96_RS08850,K19129,csy3; CRISPR-associated protein Csy3
PN96_RS18060,,
PN96_RS13010,K01698,"hemB, ALAD; porphobilinogen synthase [EC:4.2.1.24]"
PN96_RS05915,K26937,"dinF, mepA, vmrA; MATE family, multidrug efflux pump"
PN96_RS04320,K03721,"tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport"
PN96_RS20010,K01734,mgsA; methylglyoxal synthase [EC:4.2.3.3]
PN96_RS06445,K06907,FI; Bacteriophage tail sheath protein
PN96_RS17670,,
PN96_RS12710,K03561,exbB; biopolymer transport protein ExbB
PN96_RS22225,K00868,"pdxK, pdxY; pyridoxine kinase [EC:2.7.1.35]"
PN96_RS01250,K00344,"qor, CRYZ; NADPH:quinone reductase [EC:1.6.5.5]"
PN96_RS13945,,
PN96_RS11935,,
PN96_RS03245,,
PN96_RS09390,K00658,"DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]"
PN96_RS10805,K03554,rdgC; recombination associated protein RdgC
PN96_RS18390,K03286,"TC.OOP; OmpA-OmpF porin, OOP family"
PN96_RS01060,K03584,recO; DNA repair protein RecO (recombination protein O)
PN96_RS11250,K00266,gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
PN96_RS22325,,
PN96_RS16690,,
PN96_RS00995,,
PN96_RS13355,K02483,"K02483; two-component system, OmpR family, response regulator"
PN96_RS05950,,
PN96_RS12095,K02994,"RP-S8, MRPS8, rpsH; small subunit ribosomal protein S8"
PN96_RS02960,K08086,fimV; pilus assembly protein FimV
PN96_RS16325,K02003,ABC.CD.A; putative ABC transport system ATP-binding protein
PN96_RS01070,K00997,acpS; holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
PN96_RS17005,,
PN96_RS16085,,
PN96_RS13830,,
PN96_RS14515,K26937,"dinF, mepA, vmrA; MATE family, multidrug efflux pump"
PN96_RS11775,,
PN96_RS19260,K00549,metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]
PN96_RS13895,,
PN96_RS24320,,
PN96_RS07965,,
PN96_RS18475,,
PN96_RS01690,K03177,"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase [EC:5.4.99.25]"
PN96_RS02075,,
PN96_RS00545,K07122,mlaB; phospholipid transport system transporter-binding protein
PN96_RS05720,K01716,fabA; 3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]
PN96_RS08440,K21420,bpt; leucyl-tRNA---protein transferase [EC:2.3.2.29]
PN96_RS03295,K03613,rnfE; H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E
PN96_RS07725,,
PN96_RS19870,K01649,"leuA, IMS; 2-isopropylmalate synthase [EC:2.3.3.13]"
PN96_RS12370,K10107,kpsE; capsular polysaccharide transport system permease protein
PN96_RS04820,K06605,iolH; myo-inositol catabolism protein IolH
PN96_RS13890,K15977,K15977; putative oxidoreductase
PN96_RS21120,K05805,creA; CreA protein
PN96_RS10335,K18691,mltF; peptidoglycan lytic transglycosylase F [EC:4.2.2.29]
PN96_RS15500,K02574,napH; ferredoxin-type protein NapH
PN96_RS19475,K02592,nifN; nitrogenase molybdenum-iron protein NifN
PN96_RS13680,,
PN96_RS19345,K02167,"betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes"
PN96_RS22385,K00007,dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
PN96_RS08755,K11074,"potI, spuH; putrescine transport system permease protein"
PN96_RS21595,K03310,"TC.AGCS; alanine or glycine:cation symporter, AGCS family"
PN96_RS09285,K01897,"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"
PN96_RS01865,,
PN96_RS24030,,
PN96_RS03210,,
PN96_RS22140,,
PN96_RS21160,K02028,ABC.PA.A; polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
PN96_RS04965,K07025,K07025; putative hydrolase of the HAD superfamily
PN96_RS02570,,
PN96_RS09300,,
PN96_RS11115,K04567,"KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
PN96_RS14510,K00850,"pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]"
PN96_RS18035,K03704,cspA; cold shock protein
PN96_RS07915,,
PN96_RS08470,K06181,rluE; 23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]
PN96_RS12245,K01826,"hpaF, hpcD; 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]"
PN96_RS13030,K03117,tatB; sec-independent protein translocase protein TatB
PN96_RS19075,K01950,"E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]"
PN96_RS01330,K02654,"pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]"
PN96_RS09605,,
PN96_RS22880,K03704,cspA; cold shock protein
PN96_RS12515,,
PN96_RS20650,K03672,trxC; thioredoxin 2 [EC:1.8.1.8]
PN96_RS22795,K01907,"AACS, acsA; acetoacetyl-CoA synthetase [EC:6.2.1.16]"
PN96_RS23635,K10110,malG; maltose/maltodextrin transport system permease protein
PN96_RS10125,K02072,metI; D-methionine transport system permease protein
PN96_RS08725,K07137,K07137; uncharacterized protein
PN96_RS01830,,
PN96_RS09725,K03415,"cheV; two-component system, chemotaxis family, chemotaxis protein CheV"
PN96_RS16010,,
PN96_RS21180,K14761,"rlbA, ybcJ; ribosome-associated protein"
PN96_RS10460,,
PN96_RS06990,,
PN96_RS20050,K03924,moxR; MoxR-like ATPase [EC:3.6.3.-]
PN96_RS03875,,
PN96_RS00340,K12284,mshN; MSHA biogenesis protein MshN
PN96_RS07750,K03974,pspF; psp operon transcriptional activator
PN96_RS15825,K03556,"malT; LuxR family transcriptional regulator, maltose regulon positive regulatory protein"
PN96_RS18705,,
PN96_RS20015,K11930,torT; periplasmic protein TorT
PN96_RS18310,K02569,napC; cytochrome c-type protein NapC
PN96_RS07200,,
PN96_RS12740,K01139,"spoT; GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]"
PN96_RS21950,,
PN96_RS03800,,
PN96_RS11570,K00974,cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]
PN96_RS12630,K00762,pyrE; orotate phosphoribosyltransferase [EC:2.4.2.10]
PN96_RS14100,K08985,K08985; putative lipoprotein
PN96_RS02855,,
PN96_RS11120,K02836,prfB; peptide chain release factor 2
PN96_RS09450,,
PN96_RS09805,,
PN96_RS05090,K10536,aguA; agmatine deiminase [EC:3.5.3.12]
PN96_RS07505,K03674,grxA; glutaredoxin 1
PN96_RS23380,K00969,nadD; nicotinate-nucleotide adenylyltransferase [EC:2.7.7.18]
PN96_RS13755,K01588,purE; 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
